filename,year,cam_position,cam_num,sample_num,label_principal,masked_label,human_review,review_action,effective_label,notes,multiclass_human_review,multiclass_review_status,human_agrees_principal,human_agrees_masked,human_disagrees_both
2025_Conforme_1_Cam_T_3_239.jpg,2025,T,3,239,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_3_262.jpg,2025,T,3,262,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_3_265.jpg,2025,T,3,265,Conforme,vide,Vide,CORRECT_TO_VIDE,Vide,,,not_required,False,True,False
2025_Conforme_1_Cam_T_3_309.jpg,2025,T,3,309,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_3_429.jpg,2025,T,3,429,Vide,chataigne,NonVide,NEED_MULTICLASS_REVIEW,Conforme,,Conforme,reviewed,False,True,False
2025_Conforme_1_Cam_T_3_49.jpg,2025,T,3,49,Vide,chunks,NonVide,NEED_MULTICLASS_REVIEW,PIETRA,,PIETRA,reviewed,False,True,False
2025_Conforme_1_Cam_T_3_89.jpg,2025,T,3,89,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_4_180.jpg,2025,T,4,180,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_4_285.jpg,2025,T,4,285,Vide,chunks,NonVide,NEED_MULTICLASS_REVIEW,Conforme,,Conforme,reviewed,False,True,False
2025_Conforme_1_Cam_T_4_365.jpg,2025,T,4,365,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_4_39.jpg,2025,T,4,39,Conforme,vide,Vide,CORRECT_TO_VIDE,Vide,,,not_required,False,True,False
2025_Conforme_1_Cam_T_4_439.jpg,2025,T,4,439,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_4_450.jpg,2025,T,4,450,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_4_463.jpg,2025,T,4,463,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_4_487.jpg,2025,T,4,487,Vide,chunks,NonVide,NEED_MULTICLASS_REVIEW,NON Conforme,,NON Conforme,reviewed,False,True,False
2025_Conforme_1_Cam_T_5_148.jpg,2025,T,5,148,Vide,chunks,NonVide,NEED_MULTICLASS_REVIEW,NON Conforme,,NON Conforme,reviewed,False,True,False
2025_Conforme_1_Cam_T_5_169.jpg,2025,T,5,169,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_5_177.jpg,2025,T,5,177,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_5_324.jpg,2025,T,5,324,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_5_94.jpg,2025,T,5,94,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_1_Cam_T_6_496.jpg,2025,T,6,496,Vide,chunks,Vide,KEEP_PRINCIPAL,Vide,,,not_required,True,False,False
2025_Conforme_2_Cam_B_1_100.jpg,2025,B,1,100,Vide,chunks,NonVide,NEED_MULTICLASS_REVIEW,Conforme,,Conforme,reviewed,False,True,False
