filename,year,cam_position,cam_num,sample_num,batch_num,label_filename,label_principal,multiple,chunk,mixed_quality,reviewed,labeled_by,labeled_by_canonical,masked_label,hot_frac,max_blob,masked_covered,masked_disagreement
2025_Conforme_1_Cam_T_3_239.jpg,2025,T,3,239,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0001,3,True,True
2025_Conforme_1_Cam_T_3_262.jpg,2025,T,3,262,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0093,234,True,True
2025_Conforme_1_Cam_T_3_265.jpg,2025,T,3,265,1,Conforme,Conforme,False,False,False,True,Tilyah,Tilyah,vide,0.0,0,True,True
2025_Conforme_1_Cam_T_3_309.jpg,2025,T,3,309,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0478,2399,True,True
2025_Conforme_1_Cam_T_3_429.jpg,2025,T,3,429,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chataigne,0.0578,2679,True,True
2025_Conforme_1_Cam_T_3_49.jpg,2025,T,3,49,1,Conforme,Vide,False,True,False,True,Tilyah,Tilyah,chunks,0.0062,171,True,True
2025_Conforme_1_Cam_T_3_89.jpg,2025,T,3,89,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0001,3,True,True
2025_Conforme_1_Cam_T_4_180.jpg,2025,T,4,180,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0089,381,True,True
2025_Conforme_1_Cam_T_4_285.jpg,2025,T,4,285,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0013,31,True,True
2025_Conforme_1_Cam_T_4_365.jpg,2025,T,4,365,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0048,147,True,True
2025_Conforme_1_Cam_T_4_39.jpg,2025,T,4,39,1,Conforme,Conforme,False,False,False,True,Tilyah,Tilyah,vide,0.0001,3,True,True
2025_Conforme_1_Cam_T_4_439.jpg,2025,T,4,439,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0045,79,True,True
2025_Conforme_1_Cam_T_4_450.jpg,2025,T,4,450,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0007,9,True,True
2025_Conforme_1_Cam_T_4_463.jpg,2025,T,4,463,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0005,5,True,True
2025_Conforme_1_Cam_T_4_487.jpg,2025,T,4,487,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0076,266,True,True
2025_Conforme_1_Cam_T_5_148.jpg,2025,T,5,148,1,Conforme,Vide,False,False,False,True,Tilyah,Tilyah,chunks,0.0018,35,True,True
