filename,year,batch_num,cam_position,cam_num,sample_num,label_filename,label_principal,labeled_by,labeled_by_canonical,masked_covered,pair_id,is_masked_disagreement,is_multiple,is_chunk,is_mixed_quality,is_missing_labeled_by,is_label_filename_changed,is_historical_paired,is_historical_unpaired,has_pair_label_disagreement,included_S0,excluded_S0,included_S1,excluded_S1,included_S2,excluded_S2,included_S3a,excluded_S3a,included_S3b,excluded_S3b
2025_Conforme_1_Cam_B_1_0.jpg,2025,1,B,1,0,Conforme,Vide,NicoG,Nico,False,hist_dbbf11348472783b98a688ec,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_1.jpg,2025,1,B,1,1,Conforme,Vide,NicoG,Nico,False,hist_4c20a406169c809945ff4732,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_10.jpg,2025,1,B,1,10,Conforme,Vide,NicoG,Nico,False,hist_48e732968f954963d5666d98,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_100.jpg,2025,1,B,1,100,Conforme,Conforme,NicoG,Nico,False,hist_1e297d7b1a2d26b1f3d398ab,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_101.jpg,2025,1,B,1,101,Conforme,Vide,NicoG,Nico,False,hist_50a3509612cd1bc77d0c251e,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_102.jpg,2025,1,B,1,102,Conforme,Conforme,NicoG,Nico,False,hist_c0dbc58f667383c7af744b35,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_103.jpg,2025,1,B,1,103,Conforme,Conforme,NicoG,Nico,False,hist_1d8a33c6ee6017198ee4eaa1,False,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True
2025_Conforme_1_Cam_B_1_104.jpg,2025,1,B,1,104,Conforme,Conforme,NicoG,Nico,False,hist_1e3bd818a69895e5b9e79d60,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_105.jpg,2025,1,B,1,105,Conforme,Conforme,NicoG,Nico,False,hist_b815ac3537c119f28167b9d2,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_106.jpg,2025,1,B,1,106,Conforme,Vide,NicoG,Nico,False,hist_3ba210cc2dec2a7ecf6bc446,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_107.jpg,2025,1,B,1,107,Conforme,Conforme,NicoG,Nico,False,hist_5eb9bc3fa4a91b2704fc081e,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_108.jpg,2025,1,B,1,108,Conforme,Vide,NicoG,Nico,False,hist_b55f6faa7b8652b4cc9ea1f7,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_109.jpg,2025,1,B,1,109,Conforme,Vide,NicoG,Nico,False,hist_27ae1bbc7b9fd4a0b6f7bdf4,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_11.jpg,2025,1,B,1,11,Conforme,Vide,NicoG,Nico,False,hist_e19128375e42183c9acb3f56,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_110.jpg,2025,1,B,1,110,Conforme,Vide,NicoG,Nico,False,hist_b1c843f4e971ea046dd3423f,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_111.jpg,2025,1,B,1,111,Conforme,Vide,NicoG,Nico,False,hist_c6b3c38ea0426b528693fe37,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_112.jpg,2025,1,B,1,112,Conforme,Conforme,NicoG,Nico,False,hist_17be6d517789524b41cb2c2c,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_113.jpg,2025,1,B,1,113,Conforme,Conforme,NicoG,Nico,False,hist_7c3c83858cd4268149a03129,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_114.jpg,2025,1,B,1,114,Conforme,Conforme,NicoG,Nico,False,hist_001d6a42bc094109d54e6c9b,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_115.jpg,2025,1,B,1,115,Conforme,Vide,NicoG,Nico,False,hist_4378ad807df08e3a228aeff0,False,False,False,False,False,True,True,False,True,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_116.jpg,2025,1,B,1,116,Conforme,Vide,NicoG,Nico,False,hist_59680ca9fa9c6c8d928f6da3,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_117.jpg,2025,1,B,1,117,Conforme,Conforme,NicoG,Nico,False,hist_90e980eaabeadacc5f3867b8,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False
2025_Conforme_1_Cam_B_1_118.jpg,2025,1,B,1,118,Conforme,Conforme,NicoG,Nico,False,hist_6bfa20ee6e1a1abd580337e3,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True
2025_Conforme_1_Cam_B_1_119.jpg,2025,1,B,1,119,Conforme,Conforme,NicoG,Nico,False,hist_01553341d261367c01b87b2c,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False
